Timestamp,Event,IP,Port,Method,Arguments,Return
2022-06-10 19:19:55.702996,Client-Connect,127.0.0.1,59976
2022-06-10 19:19:58.594659,Client-Disconnect,127.0.0.1,59976
2022-06-10 19:20:02.818833,Server-Stop
2022-06-10 19:20:18.689780,Server-Start
2022-06-10 19:20:20.636615,Client-Connect,127.0.0.1,59983
2022-06-10 19:20:22.998082,Method-Call,127.0.0.1,59983,exposed_list_blackboards,(),"(True, ['1', 'B', 'B0', 'B1', 'Billy', 'Bo'], '[INFO] Successful read of Blackboard List!')"
2022-06-10 19:20:27.104052,Client-Disconnect,127.0.0.1,59983
2022-06-10 19:20:27.204815,Server-Stop
2022-06-10 19:26:13.739047,Server-Start
2022-06-10 19:32:57.320679,Server-Start
2022-06-10 19:33:00.353952,Server-Stop
2022-06-10 19:33:39.912001,Server-Start
2022-06-10 19:33:43.449077,Server-Stop
2022-06-10 19:50:37.811342,Server-Start
2022-06-10 19:50:41.856458,Server-Stop
2022-06-10 19:50:44.988132,Server-Start
2022-06-10 19:50:49.514564,Server-Stop
2022-06-10 19:50:54.109528,Server-Start
2022-06-10 19:50:56.135390,Server-Stop
2022-06-10 19:52:30.397254,Server-Start
2022-06-10 19:52:33.414752,Server-Stop
2022-06-10 19:53:03.189214,Server-Start
2022-06-10 19:54:04.992817,Server-Stop
2022-06-10 19:54:37.221328,Server-Start
2022-06-10 19:54:39.253062,Server-Stop
2022-06-10 19:55:09.615971,Server-Start
2022-06-10 19:55:11.643129,Server-Stop
2022-06-10 19:55:15.862315,Server-Start
2022-06-10 19:55:17.872005,Server-Stop
2022-06-10 19:59:24.776761,Server-Start
2022-06-10 19:59:59.163834,Server-Start
2022-06-10 20:00:02.685989,Server-Stop
2022-06-10 20:02:20.090577,Server-Start
2022-06-10 20:02:26.120830,Server-Stop
2022-06-10 20:04:34.852668,Server-Start
2022-06-10 20:04:45.976477,Server-Stop
2022-06-10 20:05:25.984440,Server-Start
2022-06-10 20:06:22.733372,Server-Start
2022-06-10 20:06:58.995988,Server-Start
2022-06-10 20:07:07.575920,Server-Stop
2022-06-10 20:07:52.596696,Server-Start
2022-06-10 20:07:58.624874,Server-Stop
2022-06-10 20:08:13.838265,Server-Start
2022-06-10 20:08:15.808385,Client-Connect,127.0.0.1,60886
2022-06-10 20:08:18.820426,Server-Stop
